"INCOME","SEX","MARITAL.STATUS","AGE","EDUCATION","OCCUPATION","AREA","DUAL.INCOMES","HOUSEHOLD.SIZE","UNDER18","HOUSEHOLDER","HOME.TYPE","ETHNIC.CLASS","LANGUAGE"
"[20.000-25.000)","F","Divorced","25-34","1 to 3 years of college","Professional/Managerial","10+ years","Not Married",2,1,"Rent","Apartment","White","English"
"[30.000-40.000)","F","Married","35-44","Grad Study","Professional/Managerial","7-10 years","Yes",2,0,"Rent","Apartment","White","English"
"[30.000-40.000)","M","Single","18-24","1 to 3 years of college","Professional/Managerial","10+ years","Not Married",2,0,"Rent","Other","White","English"
"[25.000-30.000)","M","Single","25-34","Grad Study","Sales Worker","-1 year","Not Married",1,0,"Rent","Apartment","White","English"
"[40.000-50.000)","F","Single","35-44","1 to 3 years of college","Professional/Managerial","7-10 years","Not Married",2,1,"Own","Other","Asian","English"
"-10.000)","M","Single","18-24","1 to 3 years of college","Student, HS or College","10+ years","Not Married",6,3,"Family","House","White","English"
"-10.000)","M","Single","18-24","1 to 3 years of college","Student, HS or College","10+ years","Not Married",5,1,"Own","House","White","English"
"-10.000)","F","Single","14-17","Grades 9 to 11","Student, HS or College","10+ years","Not Married",3,1,"Family","House","Asian","English"
"[75.000-","M","Married","45-54","Grad Study","Retired","10+ years","No",4,1,"Own","House","American Indian","English"
"[10.000-15.000)","F","Single","18-24","Graduated High Scool","Homemaker","1-3 years","Not Married",4,1,"Family","House","White","English"
"[30.000-40.000)","F","Divorced","25-34","1 to 3 years of college","Professional/Managerial","10+ years","Not Married",2,0,"Rent","Condominium","White","English"
"[20.000-25.000)","M","Divorced","25-34","Grad Study","Clerical/Service Worker","10+ years","Not Married",4,0,"Own","House","American Indian","English"
"[40.000-50.000)","F","Married","35-44","Grad Study","Homemaker","10+ years","No",4,2,"Own","House","White","English"
"-10.000)","F","Single","14-17","Grades 9 to 11","Student, HS or College","10+ years","Not Married",8,6,"Family","House","White","English"
"[75.000-","M","Single","18-24","1 to 3 years of college","Student, HS or College","10+ years","Not Married",11,6,"Family","House","White","English"
"[40.000-50.000)","F","Married","18-24","1 to 3 years of college","Professional/Managerial","1-3 years","Yes",2,0,"Own","House","White","English"
"[30.000-40.000)","F","Single","25-34","College graduate","Sales Worker","1-3 years","Not Married",1,0,"Own","Condominium","White","English"
"[25.000-30.000)","F","Single","25-34","Grad Study","Professional/Managerial","7-10 years","Not Married",1,0,"Rent","Apartment","Hispanic","English"
"[15.000-20.000)","M","Single","65+","1 to 3 years of college","Retired","10+ years","Not Married",1,0,"Rent","Apartment","White","English"
"[50.000-75.000)","M","Married","25-34","College graduate","Professional/Managerial","1-3 years","Yes",2,0,"Own","House","White","English"
"[75.000-","M","Divorced","45-54","1 to 3 years of college","Professional/Managerial","4-6 years","Not Married",2,0,"Own","House","White","English"
"[25.000-30.000)","M","Single","35-44","Grad Study","Professional/Managerial","4-6 years","Not Married",1,0,"Own","House","White","English"
"[50.000-75.000)","M","Together","25-34","College graduate","Professional/Managerial","7-10 years","Not Married",2,0,"Rent","Apartment","White","English"
"[40.000-50.000)","M","Single","14-17","Grades 9 to 11","Clerical/Service Worker","10+ years","Not Married",5,1,"Own","House","Asian","English"
"[20.000-25.000)","F","Divorced","18-24","Grad Study","Professional/Managerial","10+ years","Not Married",5,0,"Rent","Apartment","Hispanic","Spanish"
"[30.000-40.000)","M","Together","18-24","Graduated High Scool","Clerical/Service Worker","4-6 years","No",2,0,"Rent","Apartment","White","English"
"-10.000)","F","Divorced","25-34","1 to 3 years of college","Clerical/Service Worker","10+ years","Not Married",1,0,"Rent","Apartment","White","English"
"-10.000)","M","Single","18-24","College graduate","Sales Worker","-1 year","Not Married",5,0,"Rent","Apartment","White","Other"
"[10.000-15.000)","F","Divorced","25-34","Graduated High Scool","Homemaker","10+ years","Not Married",3,0,"Rent","Other","White","English"
"[15.000-20.000)","F","Together","25-34","1 to 3 years of college","Sales Worker","-1 year","Not Married",2,0,"Rent","House","White","English"
"[15.000-20.000)","M","Single","18-24","College graduate","Clerical/Service Worker","1-3 years","Not Married",2,0,"Rent","Apartment","White","English"
"[40.000-50.000)","M","Single","45-54","1 to 3 years of college","Sales Worker","10+ years","Not Married",2,0,"Rent","Other","White","English"
"[10.000-15.000)","M","Single","25-34","College graduate","Professional/Managerial","7-10 years","Not Married",1,0,"Rent","Apartment","White","English"
"[30.000-40.000)","F","Divorced","35-44","1 to 3 years of college","Professional/Managerial","10+ years","Not Married",1,0,"Rent","Apartment","White","English"
"[40.000-50.000)","F","Married","45-54","1 to 3 years of college","Student, HS or College","10+ years","Yes",7,1,"Own","House","Black","English"
"[50.000-75.000)","M","Married","45-54","College graduate","Professional/Managerial","7-10 years","Yes",6,3,"Own","House","Hispanic","Spanish"
"[20.000-25.000)","M","Single","18-24","College graduate","Unemployed","-1 year","Not Married",3,1,"Rent","House","White","English"
"[10.000-15.000)","M","Together","35-44","1 to 3 years of college","Sales Worker","10+ years","Not Married",2,0,"Rent","Apartment","White","English"
"[25.000-30.000)","F","Single","18-24","College graduate","Professional/Managerial","1-3 years","Not Married",3,0,"Rent","Apartment","White","English"
"[20.000-25.000)","M","Together","45-54","1 to 3 years of college","Professional/Managerial","10+ years","Not Married",2,0,"Rent","Apartment","White","English"
"[40.000-50.000)","M","Together","35-44","College graduate","Professional/Managerial","1-3 years","Not Married",2,0,"Rent","House","White","English"
"[30.000-40.000)","F","Divorced","45-54","Grad Study","Professional/Managerial","7-10 years","Not Married",1,0,"Rent","Apartment","White","English"
"-10.000)","M","Widowed","45-54","1 to 3 years of college","Retired","10+ years","Not Married",2,0,"Rent","Other","White","English"
"[40.000-50.000)","F","Divorced","35-44","College graduate","Professional/Managerial","-1 year","Not Married",2,1,"Rent","Apartment","White","English"
"[15.000-20.000)","M","Single","18-24","1 to 3 years of college","Factory Worker/Laborer/Driver","10+ years","Not Married",1,0,"Rent","Apartment","White","English"
"-10.000)","M","Single","35-44","Graduated High Scool","Retired","10+ years","Not Married",1,0,"Rent","Apartment","White","English"
"-10.000)","M","Single","25-34","1 to 3 years of college","Student, HS or College","1-3 years","Not Married",1,0,"Rent","Apartment","White","English"
"[10.000-15.000)","F","Single","18-24","Graduated High Scool","Clerical/Service Worker","4-6 years","Not Married",2,0,"Rent","Apartment","White","English"
"-10.000)","F","Single","18-24","1 to 3 years of college","Unemployed","1-3 years","Not Married",5,0,"Rent","Apartment","Other","Other"
"-10.000)","F","Single","18-24","Graduated High Scool","Student, HS or College","-1 year","Not Married",4,0,"Rent","Apartment","White","English"
"-10.000)","F","Single","18-24","1 to 3 years of college","Clerical/Service Worker","7-10 years","Not Married",3,0,"Rent","Apartment","American Indian","English"
"[20.000-25.000)","F","Single","18-24","College graduate","Professional/Managerial","-1 year","Not Married",3,0,"Rent","Apartment","White","English"
"[10.000-15.000)","M","Single","25-34","Graduated High Scool","Student, HS or College","7-10 years","Not Married",3,0,"Rent","Apartment","White","English"
"[10.000-15.000)","M","Single","25-34","Graduated High Scool","Sales Worker","-1 year","Not Married",6,0,"Rent","Apartment","Other","English"
"[10.000-15.000)","M","Single","25-34","Graduated High Scool","Student, HS or College","7-10 years","Not Married",3,0,"Rent","Apartment","White","English"
"-10.000)","F","Single","18-24","Graduated High Scool","Sales Worker","-1 year","Not Married",2,0,"Rent","Apartment","White","English"
"-10.000)","F","Single","18-24","College graduate","Clerical/Service Worker","-1 year","Not Married",3,0,"Rent","Apartment","White","English"
"-10.000)","M","Married","25-34","Graduated High Scool","Sales Worker","7-10 years","Yes",2,0,"Rent","Apartment","Other","English"
"[75.000-","F","Single","18-24","Grades 9 to 11","Professional/Managerial","-1 year","Not Married",4,0,"Rent","Apartment","White","English"
"[40.000-50.000)","F","Together","18-24","1 to 3 years of college","Professional/Managerial","7-10 years","Yes",2,0,"Rent","Apartment","White","English"
"[10.000-15.000)","M","Single","25-34","1 to 3 years of college","Factory Worker/Laborer/Driver","-1 year","Not Married",1,0,"Rent","Apartment","White","English"
"[20.000-25.000)","M","Single","18-24","1 to 3 years of college","Clerical/Service Worker","-1 year","Not Married",2,0,"Rent","Apartment","White","English"
"[30.000-40.000)","M","Single","45-54","Grad Study","Student, HS or College","7-10 years","Not Married",1,0,"Rent","Apartment","White","English"
"[30.000-40.000)","M","Single","25-34","Grad Study","Professional/Managerial","-1 year","Not Married",1,0,"Rent","Apartment","White","English"
"[25.000-30.000)","M","Single","35-44","1 to 3 years of college","Professional/Managerial","10+ years","Not Married",2,0,"Rent","House","White","English"
"[20.000-25.000)","F","Single","35-44","1 to 3 years of college","Clerical/Service Worker","4-6 years","Not Married",2,0,"Rent","Apartment","White","English"
"[20.000-25.000)","M","Single","35-44","Grad Study","Clerical/Service Worker","7-10 years","Not Married",1,0,"Rent","Apartment","White","English"
"[20.000-25.000)","M","Single","25-34","Graduated High Scool","Professional/Managerial","4-6 years","Not Married",1,0,"Rent","Apartment","White","English"
"-10.000)","F","Single","18-24","1 to 3 years of college","Student, HS or College","10+ years","Not Married",5,1,"Family","House","White","English"
"[15.000-20.000)","M","Single","25-34","Graduated High Scool","Clerical/Service Worker","-1 year","Not Married",4,0,"Rent","Apartment","White","English"
"[25.000-30.000)","F","Single","25-34","College graduate","Professional/Managerial","7-10 years","Not Married",1,0,"Rent","Apartment","White","English"
"-10.000)","M","Single","25-34","College graduate","Unemployed","-1 year","Not Married",3,0,"Rent","Apartment","White","English"
"-10.000)","F","Single","18-24","1 to 3 years of college","Clerical/Service Worker","-1 year","Not Married",2,0,"Rent","Apartment","White","English"
"[25.000-30.000)","M","Divorced","35-44","Grad Study","Clerical/Service Worker","7-10 years","Not Married",2,0,"Rent","Apartment","White","English"
"[20.000-25.000)","M","Single","35-44","1 to 3 years of college","Professional/Managerial","-1 year","Not Married",2,0,"Rent","Other","White","English"
"[10.000-15.000)","M","Single","18-24","Graduated High Scool","Clerical/Service Worker","-1 year","Not Married",5,0,"Rent","Other","Other","Other"
"[10.000-15.000)","M","Single","18-24","College graduate","Factory Worker/Laborer/Driver","-1 year","Not Married",1,0,"Rent","Other","White","English"
"[40.000-50.000)","M","Single","55-64","Grad Study","Professional/Managerial","10+ years","Not Married",2,0,"Own","House","White","English"
"[50.000-75.000)","M","Together","35-44","Grad Study","Professional/Managerial","-1 year","Yes",2,0,"Rent","Apartment","White","English"
"[50.000-75.000)","M","Married","25-34","1 to 3 years of college","Professional/Managerial","10+ years","Yes",2,0,"Rent","Apartment","White","English"
"[75.000-","F","Together","25-34","College graduate","Professional/Managerial","-1 year","Not Married",2,0,"Rent","Condominium","White","English"
"[50.000-75.000)","M","Single","25-34","College graduate","Professional/Managerial","10+ years","Not Married",2,0,"Rent","House","White","English"
"[10.000-15.000)","M","Single","25-34","College graduate","Student, HS or College","7-10 years","Not Married",1,0,"Rent","Apartment","Hispanic","English"
"[25.000-30.000)","F","Divorced","55-64","Grad Study","Retired","10+ years","Not Married",1,0,"Own","House","White","English"
"[30.000-40.000)","M","Single","25-34","1 to 3 years of college","Professional/Managerial","7-10 years","Not Married",1,0,"Rent","Apartment","Black","English"
"[15.000-20.000)","M","Single","25-34","1 to 3 years of college","Clerical/Service Worker","4-6 years","Not Married",1,0,"Rent","Apartment","Black","English"
"-10.000)","F","Single","14-17","Grades 9 to 11","Student, HS or College","10+ years","Not Married",4,2,"Family","House","White","English"
"-10.000)","F","Single","14-17","Grades 9 to 11","Student, HS or College","10+ years","Not Married",5,3,"Family","House","White","English"
"-10.000)","F","Single","18-24","Graduated High Scool","Unemployed","10+ years","Not Married",1,1,"Rent","Apartment","Black","English"
"[25.000-30.000)","M","Single","25-34","College graduate","Professional/Managerial","1-3 years","Not Married",1,0,"Rent","Apartment","Black","English"
"[15.000-20.000)","M","Divorced","25-34","1 to 3 years of college","Professional/Managerial","7-10 years","Not Married",1,0,"Rent","Apartment","Hispanic","English"
"[40.000-50.000)","M","Divorced","35-44","College graduate","Professional/Managerial","10+ years","Not Married",1,0,"Rent","Apartment","Hispanic","Spanish"
"-10.000)","F","Divorced","45-54","1 to 3 years of college","Student, HS or College","10+ years","Not Married",3,0,"Family","House","Hispanic","English"
"[15.000-20.000)","M","Single","18-24","College graduate","Professional/Managerial","-1 year","Not Married",1,0,"Rent","House","Hispanic","English"
